Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A Systematic Survey of Technology Driven Diagnosis for Autism Spectrum Disorder,SN Computer Science,,,,10.1007/s42979-025-04393-4,Uday SinghShailendra ShuklaManoj Madhava Gore,2025,https://link.springer.com/article/10.1007/s42979-025-04393-4,Article
Cognition in Autism Spectrum Disorder,Cognition in Autism Spectrum Disorder,,,,10.1007/978-3-032-11141-8_1,Yusuf Akemoğlu,2026,https://link.springer.com/chapter/10.1007/978-3-032-11141-8_1,Chapter
A Systematic Review of Developments in Eye Tracking and Machine Learning for the Early Detection of Autism Spectrum Disorder,Journal of Technology in Behavioral Science,,,,10.1007/s41347-025-00542-x,Deblina Mazumder Setu,2025,https://link.springer.com/article/10.1007/s41347-025-00542-x,Article
